评论人, 评论时间, 评论内容
厂娃儿,1年前,松爷，作为看了三遍三体的铁粉，只能给你60分了。确实故事太宏大，脑洞太多，亮点太多，思维太深刻，一般人不好讲
Sandy_y7,1年前,你看了三遍？佩服，说说你体会到的哪些精彩之处
刘莲_wi,1年前,听了晓说和看了奇葩说后，发现矮大紧也没那么丑了
种小鱼,1年前,大紧喜欢听这话吧？
挥墨染尘_t9,1年前,大刘从开始啰嗦那个君士坦丁堡什么的，就是给毁灭水滴埋的伏笔，神一般的大刘
h7k27kc4dkav5g3dmpgr,1年前,大紧老师真的不应该略过了四维空间，海，水洼，墓地，对水滴的降维打击。 这些是第三本的灵魂内容啊。
离去之原33,1年前,那得要讲几个小时
世界0912,1年前,听完这集感觉我根本没看懂第三本书啊！
瓦西里V,8月前,听完这集感觉自己没有看懂，大紧也没有看懂
我是二姐夫,1年前,毁灭你，与你无关。三体这么宏大的故事，根本就不是几十分钟甚至几个小时能交代清楚的。高晓松这次故事复述实在是漏掉太多关键内容了。但是没办法，换谁也是mission impossible
微光similar,1年前,三体人很单纯，那句，“我害怕你们”。特别萌
malin912,1年前,善良有才是最高的颜值
久见浑不吝,1年前,天赋的排他性生存法则造就了人性本恶。
本宫挚爱乃杨湃,1年前,不是程心:red_heart:想把云天明大脑拿走。是联合国情报部门发现了云天明是最符合条件的大脑。他毕业于天文专业 年轻的生命到了终点 。
冰麒麟_no,1年前,是联合国情报部门决定要送大脑，然后成心和同学聊天得知云天明得了癌症。她的第一反应就是向部门推荐了云天明。
aiwuhen,1年前,核弹怎么能到指定位置 既然核弹能到 为啥不把飞船直接发送到最后一个核弹位置得了
豹子_d6,4月前,短距离阶梯式加速到一定速度就行了，比如光速的百分之一，因为是太空中飞行，所以之后可以理解为匀速运动，指望三体文明对这个进行拦截，而不是想象的核弹运送到很远甚至出了太阳系进行持续的加速。原文对这一想法进行了详细的阐述，逻辑能交圈。
1314760cuhb,5月前,正解
缘来我叫maki,10月前,小说中得加速方式是辐射帆，每次核辐射加速一次，不代表要多远。太空中理想假设是没有阻力得，初始速度如果是1，爆炸一次核弹速度就+1,比喻+7就达到计划速度，那么只要爆炸7次就行，和爆点距离无关。例如当时人类可以随意飞行土星左右，那么只需要在这左右放7个核弹，这与在一光年距离范围放7个核弹，最后得飞船加速都是一样的。
某人_po,1年前,如果大家喜欢大刘的科幻，建议也可以看看王晋康先生的硬科幻，也是脑洞巨大，这两位我觉得应该是中国最好的科幻小说家了
钢铁璇,1年前,论人文情怀，科幻界扛把子应该是何夕吧
五福_y0,1年前,真看过科幻世界的人会这么觉得，大刘更有人文情怀
烟斗A10,1年前,成心啊呵呵呵
赵鸿岳,1年前,等到了！
吃鱼的猫头鹰,9月前,刚看完三体就过来听。中间有个地方我个人看的时候很震撼，但高老师略过没讲，就是智子离开地球时，逻辑问了最后一个问题，有没有方法可以让黑暗森林的猎手认为地球是安全的？回答是肯定的，但是黑暗森林打击本身具有随意性和直接性，人家来打你的时候不会看你家什么情况，反正就随手扔一炸弹过来……这也是成心和云天明见面的根本目的。
乐乐_ccs,1年前,其实程心让云天明捐脑子的时候并不知道云天明送了她星星，当初她也没想那么多，后面想清楚了却来不及
朱朱_ix,1年前,梦想就是诺兰拍三体！阿里能做到吗？
河边的喀秋莎_9n,1年前,还没看三体的时候感觉高晓松讲的好棒，看了之后感觉他有好多地方都讲错了……
挥墨染尘_t9,1年前,三体知道万有引力有能力广播，派了2个水滴监视，只是在四维空间水滴被人类用手给毁灭了！
一心水平,1年前,点赞！终于等到了！但是高老师，我听你解读时突然头脑风暴了～想到《三体》设定中，地球坐标暴露后，其实还有一个自救的解：人类自己把地球先炸了呀！在其它文明还没炸过来之前，先实现人类移民，即使移到木星上也可以，然后速度把地球引爆。这样其他文明看过来时发现是个空坐标，以为已经有人清理过了，就不会再出手，不就得救了嘛！没人想到过吗？！
周丶_1e,10月前,你的假设不成立，歌者文明能看到的只有太阳，地球被你炸了还是没炸他看不到，他只知道太阳系有文明，你在地球有文明还是木星火星都一样，只要有文明就灭了，除非你把太阳炸了，别的文明才会认为你被清理过了，地球文明能炸了太阳的话，肯定可以星际移民了，直接离开太阳系就好，所以炸什么的假设都是不成立的
周丶_1e,10月前,歌者文明发现三体被灭了以后，就发现了是太阳系的文明泄露了三体的坐标才导致三体被毁灭，还有你说的地球人把地球炸了躲到木星上去就是个笑话，首先歌者文明根本不会看到地球，地球在宇宙中就是一粒尘埃，你炸了也好没炸也好，在太阳光芒下下根本就看不到，更加不会知道这个行星上会有文明，歌者能看到的只有太阳，至于太阳系里的大行星你炸完了只躲在小星星上也没用，一样会被歌者文明降维打击
孤独的lamb,1年前,是太阳系坐标好吗。不是打地球。是直接摧毁地球所在整个太阳系。
67ijo2efvu2yazrbiz4s,1年前,矮大紧老师棒
假装在旅行1,6月前,人最应该担心的是自己，而不是地球，气球45亿年，什么灾难没经历过，人就相当于雄狮身上的蚊子，一边吸血一边担忧自己能把狮子撕裂。
1338315231,1年前,我给大家纠正一下，当时程心是不知道星星是云天明送的，所以才有送他大脑的想法
trance_fw,1年前,怀疑高晓松没有好好看三体，这些都没看到
闲池阁_9x,1年前,对于我这个看过三体的人来讲，晓松过多的把内容放在讲述小说本身的发展和内容上，前面两集更是如此，少了胡侃少了晓松自己的话。感觉不过瘾，很不过瘾。这一集稍微好点，多了很多小说自身以外的分析。
听歌下酒,1年前,看了三体，天天脑洞大开
仁德善人,1年前,手淫伤身体，损福报。看到的还没戒的，戒了吧。
情断月落桥,1年前,讲的真好，买套三体读读
GOLDENCOMMON,1年前,你口里一边说着人类对动物如何如何，一边你还不是继续吃肉。。。。。
trance_fw,1年前,既然要生存，嘴里就不要这么说
丝路流星_xh,1年前,生存而已
天鹰_ko,1年前,大紧介绍程心的笑也太迷人了吧
张云之,1年前,哇哇，终于等到了，就喜欢这个声音
颜铭_wd,1年前,买了一套~到底是先听呢还是先看呢
Robards,1年前, 先起码看到第二部中间再听。听我的没错！先悬念，后震撼，再反思和有交流的冲动。
桃之夭夭_190,1年前,听完就在盼下一期
孤赐死,1年前,第三章终于出来了。。。等的我花都那什么了
撤不回,1年前,总有那么一瞬间会感动到你
茶觉杨怡,1年前,爱你
1559998xfrt,20天前,看评论里自以为是的各种声音的争论，和人类历史何其相似。
丰臣秀吉_,4月前,提醒一下，晓松你把程心说得太坏了，当时程心并不知道她的星星是云天明送的，才让他送脑子的，当切脑手术结束后，维德才告诉程心她的星星是云天明送的，当程心得知后，也是很后悔的。还有，三体是知道万有引力号是发射器的，水滴去追杀的，但没成功。
朕本楚狂人,9月前,刘慈欣先生就是中国科幻届的技术爆炸。
学明_nw,10月前,想听晓说讲讲中国跟朝鲜的那些事儿
judy_vz,11月前,虽然讲的粗略但还是帮助我理解了好多，花了很多碎片时间看完了三体，感觉边看边忘……听完晓松老师的讲解，不仅让我理清了整个庞大故事的脉络，还更深刻理解到了里面隐藏的除了丰富的理论知识外对人性，地球乃至宇宙的态度。读之前就听说三体是一部伟大的作品，读完之后觉得确实很伟大，听完晓说后觉得真的是太伟大了。
铂涛集团理,1年前,看书前听一遍，看完书再听一遍，对三体太爱不释手了！
phlps,1年前,为什么老是有汽车发动的声音啊
牧马人_ohd,1月前,东风尼桑小车模在他桌子上，发出的引擎声音
武楽,1年前,好好的您放什么屁啊！
绿野_rg,19天前,就是
annlryo,1年前,听了2期超想看，为了不被剧透，马上买书仔细看了才来听第3期:face_with_tears_of_joy:
15866028sma,1年前,爱三体!
沐晨_je,1年前,期待更多尾声系列
和风细雨啦啦啦,1年前,那个离你3米远的人是不是说错了？如果时空弯曲那人应该在你身边了吧。比如把时空必做一张纸，把你和那个人都放在纸的两端，把纸对折是不是纸的两端就在一起了。所以两人就不是1.5米。
mario_Hl,1年前,这是我听过的最好的关于三体的书评
18506896ict,1年前,嗓音太好听了
陆陆_zf,1年前,真喜欢晓松的声音
13768153tvd,1年前,高老师能不能不要在节目中突然变身小男孩，大呼小叫啊～
18111355bpw,1年前,男神，可以讲北京折叠和郝景芳吗？我十岁的儿子想听听男神矮大紧的见解，我个人也很期待
痞子姑娘_l7,1年前,之前硬着头皮看了三体 听了觉得自己没看明白 再来一遍～
仁德善人,1年前,多找别人的好处，找好处是聚阳光。
肖特基TUBE,1年前,三体第三部，好棒棒哒
青青篱笆,1年前,失眠
像我这样迷茫的人_td,1年前,听了你讲买了一套三体
gjhxb,1年前,前排
a娥釨,1年前,辛苦啦辛苦啦
cma19,1年前,沙发！
能量正08,1年前,终于更新了，等的好辛苦。超级三体迷，书看了两遍，又听了两遍。听晓松的嗨喷，特爽。
能量正08,1年前,从晓松的视角再听一次三体。
Amy爱西瓜,1年前,不睡觉就等你
虫虫_jow,3天前,去看流浪了吗？
1379323ipwv,6小时前,肯定看了啊
虫虫_jow,3天前,听晓松的解说热泪盈眶
1855660ykcq,1月前,三体里还有一句话很震撼：失去人性，失去很多，失去兽性，失去一切
简捷_h2,2月前,讲放屁那里，笑崩溃哈哈哈
YAO哦,2月前,这期没人评论？
Lukeliu,4月前,我真帅
王酉合,4月前,为什么总有汽车启动的声音呢？
筱雅x,5月前,为什么是放屁不是吹起QwQ
1386941oigl,5月前,听完感觉自己根本看明白这本书
1386941oigl,5月前,好
1386941oigl,5月前,看完之后觉着人类特别渺小
安静_wyp,5月前,冯程程？我们的少年时代中的人物？丁程鑫演的，tf家族的，也是tfboys的师弟。而且我们的少年时代也是三小只演的。高晓松也看么？
Amber_ic7,6月前,晓松笑得好欢脱…
荷叶花花,6月前,我赌一包辣条高老师读过人类简史和未来简史
ujun,7月前,？万有引力号那里讲错了吧。
绿野_rg,7月前,没看过的不要bb，很多洲际导弹都能把核弹送到太空去
1837239ubri,8月前,作为一个人生中从来都不爱看书的人，女孩吧，高晓松厉害！我都觉得每次你说的我都特别特别爱听，欲罢不能啊，此次三体更加是这样！科幻小说，真的太讨厌了，现在几次想看原著，谢谢你:smiling_face_with_smiling_eyes:
小云云_bf,11月前,说的真好
Leilei_cm,11月前,荷兰什么公司？
q16l2cy7z836ldihs2mf,1年前,又跑题了艹
Superboy_f8,1年前,我就叫陈兴，尴尬
正义流氓拯救世界,1年前,赶紧买书吧各位，高晓松十几集也说不清啊
泡泡mm,1年前,我听后把我吓坏了
乐乐的广播,1年前,啊啊啊啊啊啊啊啊啊啊啊啊啊啊 为了喝 为了为了喝奶
CCQ_o9,1年前,感觉在听人类简史
Alty千雨,1年前,。。。
trance_fw,1年前,看的时候我还以为三体会灭了地球，结果还留了个澳大利亚很不错了好吗
一亿的布布熊,1年前,高老师每次开头自己笑的好开心啊
小曹沾母丝,1年前,这两期听的有点晕
价值高于生命,1年前,愚蠢的三体。
价值高于生命,1年前,还有北极虾都有四五亿吨了，每年能提供两亿吨蛋白质了。什么扯淡玩意。
价值高于生命,1年前,三体可以作为判断智障还是智力正常的试金石，当然包括播主在内的大多是智障。
猫脸花的夏天,1年前,这么一讲就很生动，很入迷，羡慕会讲故事的人。
哈利伯伯_ef,1年前,我尊敬的高老师啊，我是小高。您认识朱幼光吗？记得2010年好像，那时我还在Lintas，中国国家形象宣传片好像就是在您的参与下拍摄的吧？当时好像还和您开过会，只是那时我不太知道您，估计您更不知道我了最近听了很多您往期的节目，觉得您真是才华横溢啊！希望有机会能见到您哈！
学习哲学美国加州硅谷,8天前,高晓松老师真的是才华横溢，一个有趣的灵魂 
cubesun,1年前,高老师你说段子时候能不能打个稿啊？地球上光是蚂蚁的总重量就等于人类了。什么三亿吨人类一亿吨自然生物啊？讲道理很好，可是不讲论据，那不就跟《读者》一样了吗？
熏衣草的幻想_9u,1年前,有种去看三体的冲动！
家乡小可1,1年前,你是没读过倪匡的小说吗？抱着个三体没完没了
花衣_wa,1年前,我以为书和音乐是不能推荐的，但是我决定看看三体
爱动脑的小壮壮,1年前,三体 我最爱的小说！
afj1yj13vnf1fof2drvc,1年前,黑暗料理。人性是黑暗的，人类对此无能为力。
公主107,1年前,期待很久
赵墨佳,1年前,通篇跑出去的话题内容都是来自于人类简史
ironplayer,1年前,左派言论，思维江化，你老了
丁小目,1年前,最后那段是什么曲子，好听
何早春,1年前,建议大家看看大刘的其他系列的中短篇小说。有一篇叫“山”的，非常非常喜欢
1508889zkfq,1年前,以为高晓松说的会有保障，没想到三体被解读成这样，可以扯得更远一点吗？没听到几句自己想要的。失望
心灰灰意冷,1年前,还有几个细节说错了，万有引力是三体帮地球人制招的。自由的一个发射器
心灰灰意冷,1年前,大紧三体说的不好。。。比我之前在得到听的差
玻璃心双子,1年前,美丽却丑陋的圣母。是人类自己选择了圣母选择了毁灭。感觉我不看第三部会比较好。
微光similar,1年前,拯救三体
13652967wpx,1年前,是个能讲故事的人，且带有的充盈的信息量。可以解闷、解压、解乏。何时更新，不会就结束了吧。
明空ek,1年前,这几讲都讲的是什么玩意？
Emma_mjz,1年前,喜欢晓说，期望晓松聊一期：那些学医的大作家，比如鲁迅、冯唐、渡边淳一，很有意思啊，求晓松深挖：）
丁小目,1年前,怎么还没更新啊
真的是尼码,1年前,就像神话一样，666
17787017781妹的威,1年前,:broken_heart::heart_with_arrow::heart_with_arrow::heart_with_ribbon::sparkling_heart::sparkling_heart::two_hearts:
随遇而安_F08,1年前,期待下期
毛豆娘娘_yb,1年前,对物理知识无力的女汉子看三体，看的过程竟有些害怕…一切只为知道个结局。现在听晓说讲述三体，感觉听完以后再看原著，会更精彩
57_Pu,1年前,我已加入高晓松唯一音频节目【矮大紧指北】。扫码进群， 即可 获得价值200元永久免费收听权！48年生活阅历，52张人性底牌。高晓松没说的话，矮大紧讲给你听。拯救尬聊，做一个武装到牙齿的文艺青年！名额有限，立即报名！【仅限前70名免费】 请问这个节目是晓松老师的节目吗？
13709109gtd,1年前,怎么开始？
坚持T,1年前,最初看三体是在科幻世界里的连载，然后就去书店找书，现在听到晓松老师说的三体，使我又想再去读一遍
小白Fu,1年前,超爱高老师
UIOPKOQE,1年前,灭火器营业厅
快消教练老A,1年前,很好
问题儿童云心晓,1年前,其实阶梯计划提出的时间跟面壁计划提出的时间是差不多的，所以阶梯计划那些核弹不是雷迪亚兹研制的。维德说只送大脑那天，罗辑刚好中弹
冰火之哀,1年前,结果在澳大利亚进化出了数名基因锁五阶圣人。把三体灭了。本书终结
Blackeggsss,1年前,终于来啦，好评
听歌下酒,1年前,喜欢喜欢
可可inging,1年前,为了不要你的剧透，特意赶在之前看三体三，只是没有看完:loudly_crying_face:只是还剩200页让我有点难过
可可inging,1年前,每周一期，等的好焦急呀
明_nua,1年前,高总实在是高。
自然123_59,1年前,没听够
一心水平,1年前,听了矮大紧对文明那段分析，我想起一句话：“万恶的资本主义”！
暴戾的天真,29天前,我也哼起了《国际歌》
1315959577,1年前,在干嘛
朝阳书虫,1年前,高老师说我们都看过电影盗梦空间？说的是星际穿越吧
奥丁蓝宝石,1年前,签到！
huangjin_if,1年前,多从文学性和思想性角度讲讲 不用复述故事吧
白天不懂夜的黑_梅,1年前,听小松讲三体太有趣了
aikoto96,1年前,为大紧打call
梦想家_chuangxin,1年前,三体是知道万有引力号是引力波发射器，是威慑纪元三体文明和人类文明的建造的，后来三体派了两个水滴去最两艘战舰
躺在床上凋谢,1年前,加班回来躺着就可以听，真好
古巴宝贝贝,1年前,终于出了
hitten,1年前,小矮晚上好 。
humple,1年前,快催眠我吧
國叡,1年前,不是周五更新的吗?
阿汤哥_23,1年前,继续努力，睡吧
a娥釨,1年前,夜猫子们夜晚好
婷风言影语,1年前,特别喜欢三体，终于讲完了
K_vvi,1年前,等的我好辛苦 哈哈一楼
Jeffreygong,1年前,第一啊第一次
Marshall马炫,1年前,沙发
xnning1125,1年前,沙发！
喜欢你飞飞,9天前,听完大刘的三体，好难过啊
绿野_rg,19天前,推荐 平面国
18096012jpt,27天前,大刘是外星人吗？
komajy,28天前,那滴滴声太讨厌了，不就说了个逼字么，有啥啊，这还屏蔽太可笑了
星辰_fs,29天前,糾正一下 曲率驱动不是折叠空间 而是把曲率空间熨平，其他更大的曲率的空间就会把熨平区域的物质迅速拉过去
暴戾的天真,1月前,准备二刷《三体》
1893773xfsw,1月前,理工科的男生写的女生都很美，因为他受不了女生不美
敏儿籇学,1月前,原著最美
张琦_83,1月前,用炮仗崩到外星
黑小二_8o,1月前,那云天明为什么不只讲工作把人类带走的那个故事呢？非要讲三个故事？
1554565emtt,1月前,居然还有人
白杨_i2d,1月前,每次这个打火的声音是怎么回事
小街,4天前,如果你看到画面的话，就会发现那是一辆车启动并远去
真的假不了_fr,1月前,好听，大刘伟大
爱敬Z,1月前,喜欢
对方正在偷人_tk,1月前,吹口气不行就 非的放屁
暴戾的天真,29天前,下面更隐蔽
开心就好_kl3,1月前,电影是什么空间
island_uj,1月前,不是一个叫青铜时代一个叫蓝色空间嘛
Rosie_gx,2月前,晓松老师，很喜欢听您讲的一些东西，很棒！
RandomWalk_0u,2月前,星际穿越啊
硪想一个人走,2月前,大晚上一个在屋里听着，有点害怕
1308121nlob,2月前,大刘反人类
山东人0536,2月前,程心不知星是云天明给她的，直到。。。。。。
山东人0536,2月前,程心不知星是云天明给她的，直到。。。。。。
1381312cnhv,2月前,朋友给我退推了三体的视频，有兴趣了有兴趣了
Ayas11,2月前,小松老师的笑声特别可爱 每次听到都很开心
任绍群,2月前,支持，讲的太棒了！
想屁吃呢你,2月前,没看过科幻小说或对科学不太了解的人，可能听他讲没什么感触，当你看完三体时肯定会失眠！
Zeehomn,2月前,accaB
ddqq74,3月前,一边刮葫芦皮一边听,笑得和猪一样。大紧老师绝了。
农业光魔_l7,3月前,万有引力号并不是三体不知道，而是派出去的水滴被干掉了
饺子_z5,3月前,这是一部可以拯救少年危机、青年危机、中年危机………各阶段小我危机的书
