评论人, 评论时间, 评论内容
13569126cid,7月前,:unamused_face::unamused_face::unamused_face::unamused_face::unamused_face::unamused_face::unamused_face::unamused_face::unamused_face::unamused_face::unamused_face::unamused_face::unamused_face::unamused_face::unamused_face::unamused_face::unamused_face::sad_but_relieved_face::sad_but_relieved_face::sad_but_relieved_face::sad_but_relieved_face::sad_but_relieved_face::sad_but_relieved_face::sad_but_relieved_face::sad_but_relieved_face::sad_but_relieved_face::grinning_face_with_big_eyes::sad_but_relieved_face::sad_but_relieved_face::sad_but_relieved_face::sad_but_relieved_face::sad_but_relieved_face::sad_but_relieved_face::sad_but_relieved_face::sad_but_relieved_face::sad_but_relieved_face::sad_but_relieved_face::sad_but_relieved_face::sad_but_relieved_face::sad_but_relieved_face::sad_but_relieved_face::sad_but_relieved_face::sad_but_relieved_face::sad_but_relieved_face::sad_but_relieved_face::sad_but_relieved_face:
13569126cid,7月前,:thumbs_down::thumbs_down::thumbs_down::thumbs_down::thumbs_down::thumbs_down::thumbs_down::thumbs_down::thumbs_down::thumbs_down::thumbs_down::thumbs_down::thumbs_down::thumbs_down::thumbs_down::thumbs_down::thumbs_down::thumbs_down::thumbs_down::thumbs_down::thumbs_down::thumbs_down::thumbs_down::thumbs_down::thumbs_down::thumbs_down::thumbs_down::thumbs_down::thumbs_down:
13569126cid,7月前,哈哈哈哈哈哈哈哈！
13569126cid,7月前,小十三
13569126cid,7月前,烦:pensive_face:
13569126cid,7月前,十三体
13569126cid,7月前,笨！！！心，星。
良弘_4k,7月前,咋没文字
15608071dkl,7月前,请问怎么把核弹放到那个位置？
平原令AH,7月前,一有件事，很多人不知想过或想明白没有。人类这个种族难道在浩瀚的宇宙中只有地球存在人类吗？可能人类会自相残杀，但是这个宇宙中不可能只有地球有人类的存在。。。
绿野_rg,7月前,傻子，不要在这种节目中，说什么脸上张东西
绿野_rg,7月前,大刘感觉想进eto
绿野_rg,7月前,就是要让智子知道，能不能看完原著再bb。。
绿野_rg,7月前,放屁。。。
有墙就有门_9t,7月前,看了，但是物理学的好多知识都没看懂……
盒子精xmy,8月前,唯有死神永生，而人类向死而生
倒睫是什么,8月前,霍金警告人类：不要回复其它星球的试探信号。这话是看了三体说的吗
freeman_5Y,8月前,好听
風齊芸,8月前,p
Ad罗娟,8月前,n
相聚就是缘分_d8,8月前,good
相聚就是缘分_d8,8月前,好
vrher5222x7wgj3o5svq,8月前,那你别听啊，没事自己进来找恶心
vrher5222x7wgj3o5svq,8月前,那你别听啊，没事自己进来找恶心
vrher5222x7wgj3o5svq,8月前,就你矫情，就你文明，多少年的口头禅了，不听就滚
王加诺,8月前,晓松说的好
貔貅爱饕餮_v4,8月前,毁灭你与你何干
阿洒_pt,8月前,看弹幕看到头晕眼花…………………………
LYZ_if,9月前,那个车子突突的声音真的是………
牡丹_5fy,9月前,羊驼草呢马
旅行者_go,9月前,晓松你多讲一点世界历史嘛，好有意思，那古希腊，那古埃及文明，很迷很迷～
Milton_3e,9月前,那一亿吨仅仅是指哺乳动物吧，我记得仅仅是磷虾就是很惊人的数量
无为无语,9月前,虽然说得很好，但也说错了几个细节！可能我缺的就是大局！
恣____,9月前,开枪前，要做好被杀的觉悟
败狗怼怼,9月前,爱您！
朋友圈_9o,9月前,不好看，三体写得不好看
云水之间一散人,9月前,程欣咯～
5m啊要自律,9月前,天啦，听完这集还能好好吃猪肉鸡肉吗
1379833jcrn,9月前,最恐怖的事就是用合法合理的所有人都觉得理所应当的办法，把众人仰视神一样的存在，在不知不觉中变成不能思考的牲畜，神一样的存在变成传说，活着的肉身受尽欺辱互相残杀
拂水房死士,9月前,大刘的球状闪电也是经典
孟祥坤_q5,9月前,讲的顺序不对
唐甜甜_m9,9月前,咦？上一集不是说青铜时代号吗？怎么突然变成万有引力号了
redhair2012,9月前,为什么就不能是大家吹口气！？一定要放P！晕
宁广新,9月前,晓松看过人类简史了
XuchenSitara,10月前,有个细节有些不准确：程心是在云天明走了后才知道星星是谁送的~
小灰大灰,10月前,好
大明湖畔划船的,10月前,高晓松是不是太忙了，最近的文章真是漏洞太多。
光与影_op,10月前,老卢
光与影_op,10月前,心∵
光与影_op,10月前,心
光与影_op,10月前,運
光与影_op,10月前,嫂子台]心汁义一一恩
光与影_op,10月前,白水一个刁·成·
光与影_op,10月前,文丫边▽一√∩由刚卫
lulu读书会晨光,10月前,曲率飞船，在《多啦A梦》原著时候也就是二十多年前就有了在里面叫撬曲空间。真没觉得是多了不起的脑洞。
与谁同轩,10月前,刚看完极地恶灵，准备把原来没看完的三体再仔细重温一遍。
邓倬悦,10月前,程心并不知道那颗星星是云天明送的呀！
东雪玲凡,10月前,生于时代 幸于时代 不管人类对地球作出多大的伤害 也才有了我们现在的美好生活 也悲于时代 如果把生活想的太黑暗也没啥意思了 虽然人人都是凶手 但对于受益者的我们来说 更没啥资格去批判吧 想一下就好 要不然多反人类呀 我们能做先开枪的人也挺好的 其实换个角度想想侏罗纪时代 对于现在的飞禽猛兽也不能算是个安乐窝吧 不管怎么样 我们都是受益者
金三少小桃子,10月前,饱暖思yin欲
1350758uwhm,10月前,你不是说三体监视的着所有人吗？那你把人类的秘密都说了，三体不就全知道了吗
無O語,10月前,那核弹怎么放到太空里
我存在在我的存在0,10月前,太有意思了……我本来是要到图书馆写作业的 没想到听了一个多小时……
月光下对白,10月前,我不懂历史，不懂物理，但我能够理解《三体》，并为之深深着迷。
笃之_7t,10月前,核弹都布置好了，再烦的事特别特别清算了上去就只能送一个人大脑，因为这一个人上来，就算马云上去也不行啊，马云好歹也有几十斤重了，晚上有大家系一种对身体的这个无限的信任，就说以他们高度发达的科技，他们一定能够把这个大脑恢复成了一个人，或者恢复成一个像他们那样的生物，但是长的是我们人类的大脑，大脑里还记得我的任务是我要去大乳山体内部，我非要去找一个大脑水另一位男2号出场聊着，那就明天明哦，原来是个屌丝，从我在大学里头，明天去发女生的，理工科里面的这样的一个男同学在这里跳舞，从来不站在我深深的爱着他打。
笃之_7t,10月前,普通话不标准！讯飞输入成这样！
随心所欲_sll,10月前,您讲的很好 ，希望能将卡耐基的《人性的弱点》和《高效能人士的七个习惯》
浮生_kg9,10月前,片尾曲好好听，求问是那首歌
ldlroom,10月前,已经被三体人送走了
ldlroom,10月前,书里已经写了，有了坐标根本不侦查是不是已经被清理了，直接就开干了
ldlroom,10月前,是靠核弹加速呢，直接发送飞船你能达到那个速度啊
数星星的小熊,10月前,有些内容和人类简史几乎相同呀
释吉秀,10月前,继续讲呀
1356975dqrg,10月前,
小马哥_xkt,11月前,晓松的话题大量参考了《人类简史》和《未来简史》
gikin_wo,11月前,我的矮大紧老师
唐懂懂_7l,11月前,这几期关于三体的内容好多都是《人类简史》中的内容啊。
油条桑,11月前,光是听到程心两字就觉得恶心 圣母biao
张志远_9y,11月前,牛
张志远_9y,11月前,说一下，宇宙成成画了
薄荷糖的夏,11月前,禹搏,11月前,解读三体过程中好多硬伤啊，虽然不太影响整体解读，但是对于没读过三体的听众来说还是不太尊重原著的。证明应该只是快速的读了一遍左右
小丽萨96,11月前,对猪其实很聪明鸡牛也有感情会感受到痛苦。人类最残忍的。
雁南飞_ets,11月前,听了晓说，爱上了晓松
1362824jmzj,11月前,问一下：三体毁灭后，在三体上的云天明是怎么活下来的？
跟随同行,11月前,羽（宇）飘！高老师实在是高
墁芝,11月前,晓松哥，大牛的阳泉不是县城，我们是全国最早建立的市---阳泉市。
北国樱桃,11月前,作为一个深度三体迷，你的叙述能力太差了
光影寻梦,11月前,借三体评论人类历史，说的太好了
38phapf2c4okztp9zgwm,11月前,说的非常吸引人，通俗易懂！
小云云_bf,11月前,三体无解
树莓谭,11月前,-:-O
小豆砸1,1年前,没看过三体，我都听不懂你在讲神马
1889497amll,1年前,你们是不是没有看过优酷视频的晓说，里面都是牛哔啊…………这是为了过审
teddy2016,1年前,
teddy2016,1年前,
齐云_w7,1年前,i
乔伊vv,1年前,解读的太好了，强强:thumbs_up:
曹杨2016,1年前,听了特别好，特别棒很有知识
何孝珍在未来等现在,1年前,看完再听吧，良心建议。
碎花姑凉,1年前,历史留给人类唯一的教训就是从来不吸取教训。 人性从来如此
壮一帆,1年前,a非常有趣
饶小河_o6,1年前,晓松对三体的评价几乎跟我一样
八刀_rb,1年前,程心让云天明捐脑子的时候不知道星星的事。
请叫我小纯洁_2r,1年前,宇宙第一备胎云天明。
飞马踏燕_af,1年前,感谢老师
x96wos1dukuv04esbkx7,1年前,这里不对了。是脑子送走以后 程欣才知道云天明送她星星
Rucchi_sf,1年前,不愧是北大四才子
剑胆琴心95,1年前,考验量子通讯卫星
云水释禅心,1年前,我们都是反人类的
ankiy,1年前,吃人，不就是大主宰嘛，很像。
doris_hcy,1年前,接力放屁
NO1900,1年前,这本书说明国人不缺乏思想，不缺乏创造力。千百年前这片土地可以向世界输出思想与技术，而今天却很难创造出被世界所接受思想，技术等等。
BigMagnet,1年前,哈哈哈哈哈哈三题在书架躺很久了，读完手头这本读三体！
丁婧_t0,1年前,矮大紧老师不厚道了，骗了伯爵
莫名得意,1年前,大部分的认知和《人类简史》讲的一样
痴傻呆苶,1年前,讲的真好
Superboy_f8,1年前,那核弹怎么放置在路上各个相应的位置点的呢？
叫什么我鬼知道,1年前,程心不是因为云天明送他星星才推荐他去的 并且在知道云天明送给她星星之后非常痛苦和后悔
福禧宝贝,1年前,太喜欢高老师了！！！
藝生菌,1年前,总穿插有《人类简史》里面的内容。。。
乐乐的广播,1年前,啊啊啊
无奈的勺子,1年前,这笑声太魔性了
悦兰_13,1年前,三体看了两遍，也没看进去……
痕迹_gl,1年前,这里有bug 核弹怎么放在路线上的
敏_lx,1年前,听你讲，都烧脑
敏_lx,1年前,希望看完三体，我能成佛
小太阳_3uc,1年前,为什么老是听到开车的声音？
walle__l4,1年前,碉堡了，花三百万买一恒星证书，直接拿三百万砸呀
雪之_Snows,1年前,很棒
Yangbeyoung,1年前,我仿佛在看人类简史
Yangbeyoung,1年前,人类简史
暖妈_w7,1年前,啊
暖妈_w7,1年前,-
暖妈_w7,1年前,-+-啊-啊
挪威的浆糊_,1年前,接力放屁把我笑惨了
了缘自在,1年前,在国外无法听了，有没有其他可以在国外收听的平台还可以听的？
追风丶丶丶丶,1年前,自从看了三体，走到空旷的地方总是不自觉的就抬起头看向天空，从那以后，我的眼中不再有美丽的蓝天白云，如画的繁星点点，深邃的目光像是穿透了时空，到达那无边无际尽如同墨染的宇宙，浩瀚，渺小，悲哀，敬畏，恐惧，一直在心头挥之不去
卓卓_vi,1年前,能把人类简史和三体一起说我也真是服
再生缘_xy,1年前,:cactus::cactus::cactus:
xinyi_25,1年前,有人吗
百熬的粥粥,1年前,喜欢，佩服，听了好几遍！大紧追随者！
路人甲_h8s,1年前,3亿吨是怎么算出来的
易美美居壁纸,1年前,这都是什么?_?浪费时间，lj
Helen_nuv,1年前,我想晓松老师最近一定看了尤瓦尔的《人类简史》，这期里面连续引用了多个书中的例子。
乌龟卡卡,1年前,那阶梯计划里的炸弹又靠什么运过去呢:face_with_tears_of_joy:
1301999gegb,1年前,…
特狼川普,1年前,三体如秦王墓不可条件不足就拍 一定会拍坏 目前只有好来巫有这能力
苗_n6,1年前,你可以不听
baijie_7w,1年前,矮老师也挺圣母心的，其他物种如果进化的比人类先进，也会把人类灭掉的，并不会好到哪里去同情其他物种的，包括伊文思，都tmd圣母心，一样导致地球灭亡，弱肉强食，千古真理，并不会因为哪个文明或哪个物种而变高明。死神永生才是真理，再牛的文明，最终也要灭亡！
dolly99860,1年前,晓松说其实。
dolly99860,1年前,也是
调零风暴,1年前,好好的放什么屁
KingWashington,1年前,唉唉:pensive_face:
KingWashington,1年前,唉
风继续吹_nn,1年前,商业领域每个人不都在自己公司当猎人或是猎物吗？生怕别的公司技术爆炸:collision:。阿里巴巴就是我们所知的三体。
雨竹_eo,1年前,只有我不时听到节目里有拖拉机的声音吗？
徐志涵,1年前,经历过爱和绝望才能知道云天明的想法
兀兀llf,1年前,还没看之前 光看名字“三体”，以为是外国人著作了，厉害了 大刘！ 幸亏晓松老师精讲解，才能理解这脑洞！
lixueling,1年前,有人吗
王老邪_2f,1年前,很想知道发射“小帆船”的核弹是怎么一个个放在太空的？特别是最后一个？我是不是特傻
玛索_8d,1年前,为什么很多时候突然有发动机的背景声音啊？有人听到么？？？？
青春边缘丶,1年前,当时程欣不知道星星是云天明送的啊
Woo席席席,1年前,不喜欢吡～的一声诶
stone0066,1年前,这么好的书，高晓松讲的也好，就里面那个BB的屏蔽声音真烦人！人家晓松口头语说牛B怎么了，你要是屏蔽就屏蔽全了，又漏了那么多，真sha bi！毁了好好的作品！
b8gr190muw7e4722uu4y,1年前,晓松讲的批判人类部分内容，很多来自《人类简史》，不过讲的不错
飞就飞_mx,1年前,还有美洲野牛
水滴_pQ,1年前,谢谢
我本善良_kv,1年前,三体不是不知道，而是进入智子屏蔽区
18615692kwu,1年前,节目中的汽车引擎声,算是植入广告吗，谁想的破点子，增加不了半点美誉度，然而引起人反感
张三_gc,1年前,今夜我在德令哈，海子的诗，德令哈人留言
暗淡蓝点_35,1年前,三体知道的，三体的计划是攻击地球的同时利用水滴攻击万有引力号，但是被蓝色空间号利用4维空间攻击。把水滴毁灭了。这是三体没想到的
Duan_aj,1年前,人类简史背的挺熟
Eric_j4,1年前,怎么还不更新呀
随风_os8,1年前,笑的好淫荡
t双_os,1年前,听你说真有意思
未来未来卍,1年前,三体知道好吧，有个水滴跟这万有引力号的，只是当时万有引力号驶入了四维空间的碎片，直接从第四维将水滴的航道拨动了
13701785qga,1年前,
Callas_YY,1年前,晓松说的是，三体对人类的绝望！去年看完三体那会儿，抑郁了好一阵！
用户6053302618,1年前,最爱蔡康永，因为奇葩说爱上高晓松。
文文_y8a,1年前,好想马上去看《三体》
一只吐槽男,1年前,三体太震撼了，太宏大，人性太丑恶，估计以后也是慢慢会灭绝吧？？好恐怖……
赫尔辛根默斯肯_m2,1年前,怎么感觉大紧的声音这么贱呃
royal_4m,1年前,当时我一看到《三体》里写的降维攻击，莫名的就想起我女儿学她老师骂人的话:我一巴掌打着你粘墙上，用锅铲子把你铲下来。
医生喵,1年前,每次听到汽车启动的声音，都以为矮大紧老师要“开车”了…
千载明道_yg,1年前,有点想看
bgq5m5ygb9ntt2q0vkqw,1年前,你这不让海外收听是啥么意思呀？
南海南海_hr,1年前,三体描述的是人性
李维湘,1年前,排版怎么是个反的啊，4,3,2,1还有不要那么多哔哔哔，声音又响，难听死了
jiulian0,1年前,一
几分之几_XG,1年前,呵呵，多看书
2zhitigers,1年前,有一些小说中的精彩细节解读错了，高晓松三体系列的解读真的不怎么样～
Roland74,1年前,大部分是在转述《人类简史》中的内容，然后加上对三体的简介。
1859573lgul,1年前,大脑是靠核弹接力发射到三体的，那么核弹是怎么发射到指定地点的呢
947826825,1年前,。。。你这反了吧？
何字共七笔,1年前,你热泪盈眶不盈眶算个屁呀:grinning_face_with_smiling_eyes:哈哈哈哈哈哈
那是一小块凝固的时间,1年前,还有傻b改成傻
归零不是零,1年前,恶魔:angry_face_with_horns:总是用自己的规则揣测别人
爱动脑的小壮壮,1年前,先支持一下晓松
爱动脑的小壮壮,1年前,三体出游戏 我一定支持！
轶哥吉祥,1年前,矮大紧
等好学生,1年前,
NatsuCHyperion,1年前,《人类简史》里的观点
TimerJack,1年前,好
菊福Lee,1年前,大刘写女人真的迷。。。。
luying_3i,1年前,听不懂
Asura_7z,1年前,两齿兽不是人类灭绝的吧 :face_with_tears_of_joy:
紫微_YU,1年前,mzs 我 wotwa
伯虎_26,1年前,大刘用叶文洁的角度写出了自己乃至一代知识分子对文革的愤恨，高老师心知肚明大刘当代曹雪芹的曲笔用意，同感颇深估计
芃儒,1年前,联合国贩卖恒星就好比中世纪罗马教廷搞的“赎罪券”。
傍晚六点钟,1年前,为了矮大紧 特意去看完了三体 才来听
明月清风我_dv,1年前,超级喜欢小松
他夏了夏天_z0,1年前,程心喽～～～
小国_sq,1年前,大紧求求您了，别再说3体了，我们好多粉丝根本没看过这是什么东西啊
一只水螅,1年前,希望不要有这么多奇怪的声音……超级影响听书感受的。
好名字_tY,1年前,瞎扯淡
弯弓_rc,1年前,为啥不直接买套书看
鲍鲍4,1年前,高晓松讲得真好
素止灵,1年前,喜欢晓松的风格，爱听
夜留香_0j,1年前,云天明不是去三体。
冉祯伟,1年前,核弹又怎么布置呢。
13615669ajq,1年前,本集有点失望啊。前面3集都是三刷的
一只雪姨,1年前,程心太讨厌了
NWAMTF_G8,1年前,有才
流岚_樱花,1年前,三体至今只看完黑暗森林，一直觉得这书的评价太高了，原来是我没看懂，还是太年轻！
一城YICHENG,1年前,咦？不是青铜器号吗？
一城YICHENG,1年前,也是，看三体不能格局这么小，问啥问，这都不是事儿
哎YOU味杂货铺,1年前,高老师应该把细节也讲出来。也跟大刘一样想到什么去网上搜搜。人类怎么会有3亿顿呢
哎YOU味杂货铺,1年前,奥我自己弄错了
15101359cvk,1年前,64亿人×平均50千克=3000多亿千克=3亿多吨
米其林_rz,1年前,睿智哥
天意_9i,1年前,说人类的劣根性不如说是中国人的劣根性
孙军_fa,1年前,感谢高晓松 希望你保持健康 才能给我们源源不断地讲解知识
苦瓜坊主,1年前,不会说前再看一遍么。一堆bug。本身剧透就很可恶了
pb1j1,1年前,你们能不能买正版
心無旁骛_v8,1年前,马云才几十斤？
冰激凌1983,1年前,忽悠怎么不打哔哔声呢？要么不做，要么做绝呗
弥夜_51,1年前,万有引力号三体人知道，还派水滴坠击了的，只不过被阻截了，才发出的信号。
nn_kc,1年前,海外语法播放了？为啥啊。。。
ice_a9,1年前,:thumbs_up:
懒猪不怕开水烫,1年前,是先送脑子再发现云天明送星星吧
哇哦橙子,1年前,一个有魅力的巨作，和一个有魅力的"老男人"
美国免税代购茜,1年前,海外华人听不到 差评
我终究不是,1年前,你派一个人过去质子不会知道吗
Joey芊言玩语,1年前,金玉满堂12,1年前,
旁观者_zd,1年前,有口误啊。剩下的俩战舰是蓝色空间号和青铜时代号。
仙人掌_hp,1年前,为啥海外不让放了啊
识力,1年前,脑洞大开
策策Cc,1年前,顺带讲了讲人类简史
心即理致良知,1年前,三体是知道万有引力号的，只是追击的水滴进入智子盲区被干掉了，万有引力才得以发出引力波广播。
不端不装,1年前,无论你们是何种生物，创建了何种文明，只要是宇宙间有生命的物体。都注定覆灭，唯死神永生。
不端不装,1年前,客气，当初看原著时也没这样觉得，感觉怪怪的。现在听高老师复习一遍，反倒是有点启发。哈哈
chronicler,1年前, 标题是这个意思吗？我要好好想想。受教了！
鵼_00,1年前,晓松老师插曲都是人类简史的内容啊
Rui_os,1年前,磷虾总数的重量是超过人类总重滴
微辣_i2,1年前,不断加速加速加速才能更快把飞船送到三体，不然速度达不到要花很长时间
Daisy_ypq,1年前,为啥版权限制我们在海外生活的人儿不能听，这是地域歧视
天天_dwc,1年前,大紧哥哥 讲讲 红楼梦吧
weiwei3c,1年前,三体缺少长久的恒纪元 不是应该比球人发展更慢些吗？难道他们有攻略？bug.
weiwei3c,1年前,为啥海外的不让听了？自媒体为啥有版权问题？
weiwei3c,1年前,三体有个bug. 如果他们没有长久的恒纪元，那么文明的发展就会比较缓慢？为啥还能比地球人发达？不应该是我们比较发达吗？除非他们有攻略
chronicler,1年前, 文明出现早呗。发展是比地球慢，所以才派质子锁死人类的科技。
盈之泰,1年前,老高语言接地气，之前节目经常反复听
田甲由申田,1年前,这就和人吃猪但是不恨猪一个道理
十六门总督,1年前,地球上人类70亿，3亿吨重，平均每个人42多公斤，这不合理呀！
chronicler,1年前, 大家治学好严谨。同情矮大紧
wingred,1年前,高晓松到底有仔细看过吗？逻辑关系跟小说完全两回事
木同_k6,1年前,很好
考虑听,1年前,片汤
笔画王,1年前,为什么海外不能听了……
13709109gtd,1年前,可以啊！
autumnxin,1年前,人性太透，一个好了伤疤忘了疼，一个忘恩负义，一个历史给人类的唯一教训就是不吸取教训。
tinXtin_菲秧,1年前,听到三体死的时候真是控制不住自己的眼泪，我的话大概会是降临派吧。
Seeme3678,1年前,高老师能说说中国审美的变化吗？包括人的容貌，服装，时尚，音乐，影视等。能讲讲这些变化是由什么引起的，怎么发展的吗？比如零几年的时候明星造型普遍杀马特，近几年却消失了，形成了另外一种风格（虽然我也不知道是什么风格），这是由什么引发的，如何进展的呢
张挺_q1,1年前,马云好歹也有几十斤重
空由,1年前,弯曲空间…缩地成寸？
维纳斯的手_kb,1年前,gxs:你是不是脑子被驴踢了
现实最虚拟,1年前,轮流放屁，哈哈，矮大紧，真是服你。不过后面人类对其他人、动物等的大灭绝确实的，唉，刚看了尼安德特人灭种、美洲生物大灭绝，人类真是谁挡杀谁，不挡也杀光
齐鹏_lM,1年前,超赞高晓松:thumbs_up:
山湖映,1年前,云天明和程心的见面，以及云天明讲的那三个故事，值得讲一波。
青春走慢点_8c,1年前,说的什么听不懂
南风文化,1年前,唾手可得
用诗情画意通透风情,1年前,那核弹用什么动力布置到去三体的路上呢？
笑笑_vx3,1年前,谢谢晓松老师的无私分享!崇拜您！期待晓松老师讲讲红楼梦~~~
快乐的鱼儿_0f,1年前,鸦片战争中，在中国的外国传教士是真正为深受鸦片毒害的中国老百姓呼喊的一群人。清政府要税收，代表资本家利益的英国政府要暴利，中国老百姓愚昧无知。鸦片战争并不能决定英国人的鸦片是否还能继续在中国贩卖。这些传教士把中国真实的情况告诉自己所在国的教会，家人。得知真实情况的家人，教会组成不可小觑的力量对英政府施压。
Milo_Chen,1年前,万有引力号是因为进入了四维泡泡把水滴干掉才活下来的。
乳糖不耐症患者,1年前,矮大紧的笑声太有感染力了，哈哈哈
三豪仔,1年前,讲三体的还有第四期吗？
叫我花君吧,1年前,更新太慢了，好揪心
1378016stua,1年前,还有吗？感觉没讲完啊
马拉个萌,1年前,上期说最后剩下的两艘人类飞船是蓝色空间号和青铜时代号，这期咋出现了一个万有引力号？
萝卜嗝,1年前,晓松老师有没有注意到对大低谷的描写
一玫子,1年前,听着有种读人类简史的错觉
hi水果先生,1年前,今天一天已经听了N遍了
佳凱_趙,1年前,喜欢，希望可以继续
不负光阴0不负卿,1年前,晓松更新的好慢啊，漫长的等待～～
步步wair,1年前,终于等到三啦
愚蠢滴人类,1年前,我也有过那种想法。。人太多了怎么办
18613190pzu,1年前,开心果儿929816146260,1年前,说三体略微有些虎头蛇尾。可能是受篇幅的限制。留下一些空间后续接着谈
猫的船,1年前,听完三体123后，发现大紧的点评copy了好多《人类简史》这本书上的内容……
fengmeiyimin,1年前,白左高晓松，真恶心！
fengmeiyimin,1年前,圣母婊！
fengmeiyimin,1年前,圣母婊！
华为体验店,1年前,谢谢
13512853uqv,1年前,我看的程心推荐程天明的时候，似乎是不知道程天明捐星星给她的，对吧
火柴人804,1年前,全世界所有动物的重量绝不止一亿吨。光海里的鳞虾就有十多亿吨。蚂蚁的重量加起来也有几亿吨。
雪兔lyra,1年前,引爆这么多核弹造成多严重的太空污染啊
徐渐次,1年前,高晓松圣母了
ratyy,1年前,把脑子发出去后，才收到星星吧。
冯冯_02,1年前,不要总是比比比，成不成
杨玉莉_0y,1年前,高晓松老师讲得太好了，感恩高老师。
ZHENIA,1年前,夜空中最亮的星这首歌简直就是云天明为程心而写的一样，每次听这首歌，想着三体里描述的情节，感动到不行啊。
小剑_pr,1年前,圣母毁灭人类
哈瓦那的猫,1年前,中间扯的有点远了
小剑_pr,1年前,是不是为殖民史翻案呢。
刘阳_iC,1年前,圣母，毁灭人类。
汪文斌_n7,1年前,哦么ona'haz...00982yyyg
18911516tem,1年前,特别喜欢你说的三体
灵动那一天,1年前,大紧老师能不能一周多更新两集啊，晓松老师啊你能不能看到我的评论啊:grinning_face_with_smiling_eyes:
联想369,1年前,是蓝色空间号毁的水滴
戒不掉的桃花酒,1年前,想要听《易经》
饕餮乌龙,1年前,奇怪的是为什么看不进去呢？
曾_e1,1年前,晓说真能侃，有点意思，喜欢听。
梦尘_cu,1年前,三体超级无敌好看！越往后看越绝望人性很久之后听你讲三体，按着时间顺序……再度陷入绝望……因为……你没讲完我要等下一期啊啊啊等不及好不好嘛
aiwuhen,1年前,不是青铜什么号吗
aiwuhen,1年前,你说资本主义社会发展的时候充满理解 说人类发展的时候充满丑恶 包括三体的发展 不都一样吗？为了发展生存毁灭其他弱小的事物。
aiwuhen,1年前,难道人类不是为了生存
thickeyebrow,1年前,纠正: 成心一开始不知道云天明送星星，云天明大脑被取出的时候韦德告诉他的
白胖兔,1年前,波波星人也让人类住澳大利亚=。=
caicaicat,1年前,没讲完啊……
未小与央Z,1年前,推荐“大屁股哈哈笑”讲的三体，让人听过后，感觉他读出的人物，就是“刘慈欣”
姜太公001,1年前,贩卖黑奴、印笫安人祓屠杀，欧美白人无罪，是黑人有错，印笫安人有罪。高没有统一价值观。
顾子静216,1年前,在
竹猪小窝,1年前,废话太多 干货越来越少
fabiolacao,1年前,c，
刚振宁,1年前,云天明知道的技术，三体人不成问题吧？那不是四光年就到了地球？
早早_r3,1年前,对的～我两年前看的～认为第三本写的不好～原来是我太浅薄
JedyQi,1年前,那些核弹是怎么放那么远的呢？
沧浪之水456,1年前,听的真过瘾，谢谢松哥!
宝元芝,1年前,晓松，把牛B改成牛吧！说脏话真的不好! 好像你是跟马未都聊过就说的这么随意了
好奇害不死的猫,1年前,被高晓松讲的三体吸引了，买来书开始看
QDX_a9,1年前,西班牙姜小垂,1年前,听完直接一口气看了一遍三体
有舍有得_oj,1年前,啥啊，听不懂啊
伴晚阳光,1年前,撸，了四十八年。
江在川,1年前,我的神评论
珈其乖乖,1年前,好样的晓松，很喜欢你孤傲的德行。这些年一直在追你的作品，感觉奇谈时期的作品最好，期待佳作
王健_3h,1年前,晓松兄弟 杂七杂八 讲些啥子
张一博_l3,1年前,终于出来了，花开终有时
年华是无效信_n3,1年前,终于更新了啊啊啊啊啊啊啊，好慢
命运巫师,1年前,小说还是更精彩，对技术的理解感觉也有偏差
淇妈1977,1年前,棒棒矮大紧
符新梅,1年前,喜欢小松老师的声音，太有学问了
看见我请让我滚去学习,1年前,超棒
夸雷司马,1年前,那些核弹放到轨道上需要多少时间？
灵魂人物_oi,1年前,晓松哥敢不敢说《支离破碎》
欧阳冠楠op,1年前,三体结合人类简史
vinividivicixiao,1年前,人类是毁灭会不会死于自己的贪婪？还是人类会自我修正？人类有马斯诺五个层次的需求，生理和生存是最低的两个。本期的大紧的评论大概是为了迎合听众
行者无疆7104,1年前,三亿，七亿，一亿的数字吓到我了
宇玟秋水,1年前,讲的真好！
炫我_d5,1年前,叶文洁是一个符号 罗辑是一种象征 维德与章只是一段跳动稍强的波 三体宇宙的上帝（作者）唯一钟情的只有程心..... 4周目之感悟
吃可爱长大的老巫婆,1年前,顺序有错，讲解有错（1.程心在让云天明把脑子送去宇宙是不知道是ctm送了她一颗星 2.三体把太阳这个发射器毁灭是在罗辑当执剑人之前。）
李云柯,1年前,晓松老师这叙事能力真是无敌了
寸口关尺,1年前,矮大紧老师最帅了
寸口关尺,1年前,之前一直没看完 一口气听完那两期就想看完啦 等这期等的好苦
江河入海流的海霖,1年前,给岁月以文明，而不是给文明以岁月
13521904ejj,1年前,倒底看的是《三体》还是《人类简史》
文的武,1年前,这几期讲的什么呀，
1594106qsqe,1年前,捉个小虫子，程心请求云天明把大脑送过去的时候还不知道云天明是那个送了她星星的人。在结果改变不了后维德才告诉她。
cpsa3,1年前,这期讲的内容大多都是《人类简史》里的
米其林_rz,1年前,长知识了！
FINALETANGO,1年前,终于更新了，更新了
康_7f,1年前,三体人禁止在澳大利亚人生育。
蓝涂蔚,1年前,忽然觉得大紧也是地球的人圣母，哈哈哈哈
sfwysl,1年前,程心只是程心，人类温室精英的标本。所谓圣母只是贴标签。
